item_id,grade,skill_map_entry,micro_skill_statement,strand,cognitive_domain,min_tier,evidence_quote,locator,human_verdict(accept|revise|reject),human_score(0-1),human_issue_codes,human_notes
02-07,4,"Reconocer en aparatos de uso diario qué máquinas simples los componen, armar un mecanismo compuesto y explicar qué forma de energía emplea cada aparato y para qué le sirve.",Relaciona la forma de energía empleada por un dispositivo y su utilidad.,technical_systems,reasoning,T0,1 .9. Relación entre la forma de energía empleada por un dispositivo y su utilidad. 1 .9. Relaciona la forma de energía empleada por un dispositivo y su utilidad.,[sv-cyt p.60 ¶paragraph-p493-c2c8d149fcb0df40],,,,
03-01,3,"Usar selección (condicionales) y repetición en algoritmos y programas, y explicar con razonamiento lógico cómo funcionan y dónde fallan.",Usa estructuras de selección (condicionales) y repetición en algoritmos para resolver problemas simples.,computational_thinking,applying,T0,"use sequence, selection, and repetition in programs; work with variables and various forms of input and output",eng-computing html ¶paragraph-p110-7c8559df04ecea31,,,,
03-02,3,"Usar selección (condicionales) y repetición en algoritmos y programas, y explicar con razonamiento lógico cómo funcionan y dónde fallan.",Explica con evidencia el funcionamiento de algoritmos simples que incluyen estructuras de selección o repetición.,computational_thinking,reasoning,T0,use logical reasoning to predict the behaviour of simple programs,eng-computing html ¶paragraph-p94-f79248dc0d11c7ae,,,,
03-03,3,"Usar selección (condicionales) y repetición en algoritmos y programas, y explicar con razonamiento lógico cómo funcionan y dónde fallan.","Depura errores en algoritmos simples que utilizan estructuras de selección o repetición, identificando la instrucción incorrecta y proponiendo una corrección.",computational_thinking,applying,T0,"design, write and debug programs that accomplish specific goals, including controlling or simulating physical systems; solve problems by decomposing them into smaller parts",eng-computing html ¶paragraph-p108-7134c483baff1a53,,,,
04-01,2,"Construir objetos técnicos comunes (balanza, puente rígido, dispositivo transformador de energía) y registrar magnitudes con instrumentos de construcción propia.",Construye una balanza simple con materiales reutilizables que permita comparar el peso relativo de dos objetos.,design_process,applying,T0,5.1 . Construye una balanza.,[sv-cyt p.41 ¶paragraph-p302-d732f8df129f6fcf],,,,
04-02,2,"Construir objetos técnicos comunes (balanza, puente rígido, dispositivo transformador de energía) y registrar magnitudes con instrumentos de construcción propia.",Registra la magnitud relativa de peso de al menos tres objetos usando una balanza de construcción propia y unidades no estandarizadas.,technical_systems,applying,T0,5. 2. Registra valores de magnitud empleando un instrumento de medición de construcción propia.,[sv-cyt p.41 ¶paragraph-p302-d732f8df129f6fcf],,,,
04-03,2,"Construir objetos técnicos comunes (balanza, puente rígido, dispositivo transformador de energía) y registrar magnitudes con instrumentos de construcción propia.",Construye un modelo de puente rígido con materiales reutilizables que pueda soportar su propio peso y una carga adicional.,design_process,applying,T0,5. 3. Construye un modelo de puente rígido.,[sv-cyt p.41 ¶paragraph-p303-2a38cb04ed416df2],,,,
04-04,2,"Construir objetos técnicos comunes (balanza, puente rígido, dispositivo transformador de energía) y registrar magnitudes con instrumentos de construcción propia.","Registra la máxima carga que soporta un modelo de puente rígido antes de comprometer su integridad, usando unidades no estandarizadas.",technical_systems,applying,T0,5.4. Registra valores de máxima resistencia para un modelo propio de estructura rígida.,[sv-cyt p.41 ¶paragraph-p303-2a38cb04ed416df2],,,,
04-05,2,"Construir objetos técnicos comunes (balanza, puente rígido, dispositivo transformador de energía) y registrar magnitudes con instrumentos de construcción propia.","Construye un dispositivo simple con materiales reutilizables que demuestre una transformación de energía (ej. potencial a cinética, mecánica a mecánica).",design_process,applying,T0,5. 5. Construye un dispositivo transformador de energía.,[sv-cyt p.41 ¶paragraph-p304-729bb47cb3344da2],,,,
04-06,2,"Construir objetos técnicos comunes (balanza, puente rígido, dispositivo transformador de energía) y registrar magnitudes con instrumentos de construcción propia.","Explica con evidencia al menos una idea para optimizar el funcionamiento de un dispositivo de construcción propia, identificando el cambio y el efecto esperado.",design_process,reasoning,T0,5.6. E xplica sus ideas de cómo optimizar un dispositivo de construcción propia.,[sv-cyt p.41 ¶paragraph-p304-729bb47cb3344da2],,,,
05-01,4,"Reconocer en aparatos de uso diario qué máquinas simples los componen, armar un mecanismo compuesto y explicar qué forma de energía emplea cada aparato y para qué le sirve.","Identifica las máquinas simples que componen aparatos de uso diario, incluyendo diferentes tipos de palancas.",technical_systems,knowing,T0,1 . 5. Identifica tipos de máquinas simples dentro de máquinas complejas.,sv-cyt p.59 ¶paragraph-p490-aef1c3551bced5ab,,,,
05-02,4,"Reconocer en aparatos de uso diario qué máquinas simples los componen, armar un mecanismo compuesto y explicar qué forma de energía emplea cada aparato y para qué le sirve.","Construye una máquina compleja simple utilizando materiales disponibles, integrando al menos dos máquinas simples.",design_process,applying,T0,1 .6. Construye una máquina compleja.,sv-cyt p.59 ¶paragraph-p490-aef1c3551bced5ab,,,,
05-03,4,"Reconocer en aparatos de uso diario qué máquinas simples los componen, armar un mecanismo compuesto y explicar qué forma de energía emplea cada aparato y para qué le sirve.",Identifica la fuente de energía principal que utiliza un aparato tecnológico de uso diario.,technical_systems,knowing,T0,1 .8. Identifica las fuentes de energía de objetos tecnológicos de uso diario.,sv-cyt p.59 ¶paragraph-p490-aef1c3551bced5ab,,,,
05-04,4,"Reconocer en aparatos de uso diario qué máquinas simples los componen, armar un mecanismo compuesto y explicar qué forma de energía emplea cada aparato y para qué le sirve.",Relaciona la forma de energía que emplea un dispositivo con la función o utilidad que este cumple.,technical_systems,reasoning,T0,1 .9. Relaciona la forma de energía empleada por un dispositivo y su utilidad.,sv-cyt p.60 ¶paragraph-p493-c2c8d149fcb0df40,,,,
06-01,4,"Identificar máquinas simples y complejas en dispositivos cotidianos, construir una máquina compleja y relacionar la energía que usa un dispositivo con su utilidad.",Ejemplifica máquinas simples a partir de dispositivos del entorno.,technical_systems,knowing,T0,"1 .1 . Ejemplifica máquinas simples, a par tir de dispositivos del de dispositivos del entorno.",sv-cyt p.59 ¶paragraph-p490-aef1c3551bced5ab,,,,
06-02,4,"Identificar máquinas simples y complejas en dispositivos cotidianos, construir una máquina compleja y relacionar la energía que usa un dispositivo con su utilidad.",Clasifica máquinas simples a partir de sus definiciones clásicas.,technical_systems,applying,T0,"1 . 2. Clasificación de las máquinas simples, a par tir de sus definiciones clásicas.",sv-cyt p.59 ¶paragraph-p490-aef1c3551bced5ab,,,,
06-03,4,"Identificar máquinas simples y complejas en dispositivos cotidianos, construir una máquina compleja y relacionar la energía que usa un dispositivo con su utilidad.",Identifica palancas de diferente clase en dispositivos cotidianos.,technical_systems,knowing,T0,1 . 3. Identificación de palancas de diferente clase en dispositivos en dispositivos cotidianos .,sv-cyt p.59 ¶paragraph-p490-aef1c3551bced5ab,,,,
06-04,4,"Identificar máquinas simples y complejas en dispositivos cotidianos, construir una máquina compleja y relacionar la energía que usa un dispositivo con su utilidad.",Ejemplifica máquinas complejas a partir de dispositivos del entorno.,technical_systems,knowing,T0,"1 .4. Ejemplifica máquinas complejas, a par tir de dispositivos del par tir de dispositivos del entorno.",sv-cyt p.59 ¶paragraph-p490-aef1c3551bced5ab,,,,
06-05,4,"Identificar máquinas simples y complejas en dispositivos cotidianos, construir una máquina compleja y relacionar la energía que usa un dispositivo con su utilidad.",Identifica tipos de máquinas simples dentro de máquinas complejas.,technical_systems,applying,T0,1 . 5. Identifica tipos de máquinas simples dentro de máquinas dentro de máquinas complejas.,sv-cyt p.59 ¶paragraph-p490-aef1c3551bced5ab,,,,
06-06,4,"Identificar máquinas simples y complejas en dispositivos cotidianos, construir una máquina compleja y relacionar la energía que usa un dispositivo con su utilidad.",Construye una máquina compleja.,design_process,applying,T0,1 .6. Construye una máquina compleja.,sv-cyt p.59 ¶paragraph-p490-aef1c3551bced5ab,,,,
06-07,4,"Identificar máquinas simples y complejas en dispositivos cotidianos, construir una máquina compleja y relacionar la energía que usa un dispositivo con su utilidad.",Identifica las fuentes de energía de objetos tecnológicos de uso diario.,technical_systems,knowing,T0,1 .8. Identificación de las fuentes de 1 .8. Identifica las fuentes de energía de energía en objetos tecnológicos de objetos tecnológicos de uso diario. uso diario.,sv-cyt p.59 ¶paragraph-p490-aef1c3551bced5ab,,,,
06-08,4,"Identificar máquinas simples y complejas en dispositivos cotidianos, construir una máquina compleja y relacionar la energía que usa un dispositivo con su utilidad.",Relaciona la forma de energía empleada por un dispositivo con su utilidad.,technical_systems,reasoning,T0,1 .9. Relación entre la forma de energía 1 .9. Relaciona la forma de energía empleada por un dispositivo y su empleada por un dispositivo y su utilidad. utilidad.,sv-cyt p.60 ¶paragraph-p493-c2c8d149fcb0df40,,,,
07-01,3,Seleccionar y usar instrumentos de medición directa y experimentar con fuerzas de contacto y a distancia para explicar sus efectos sobre el movimiento.,"Mide una misma magnitud física (longitud, masa, volumen) de un objeto o sustancia usando diferentes instrumentos y registra los valores obtenidos con sus unidades.",technical_systems,applying,T0,Medición directa empleando diferentes instrumentos.,sv-cyt p.46 ¶paragraph-p358-20b9fd98b4b5a47c,,,,
07-02,3,Seleccionar y usar instrumentos de medición directa y experimentar con fuerzas de contacto y a distancia para explicar sus efectos sobre el movimiento.,"Selecciona el instrumento de medición más apropiado para medir una magnitud específica de un objeto, justificando su elección en función de la escala y la naturaleza del objeto.",design_process,reasoning,T0,Selección del instrumento de medición apropiado según el objeto a m e d i r.,sv-cyt p.46 ¶paragraph-p358-20b9fd98b4b5a47c,,,,
07-03,3,Seleccionar y usar instrumentos de medición directa y experimentar con fuerzas de contacto y a distancia para explicar sus efectos sobre el movimiento.,"Ejecuta un experimento para demostrar los efectos de una fuerza de contacto (empujar, jalar, fricción) sobre el estado de movimiento de un objeto.",technical_systems,applying,T0,E xperimentación con fuerzas de contacto.,sv-cyt p.46 ¶paragraph-p359-a2e14cdce1e7cc4f,,,,
07-04,3,Seleccionar y usar instrumentos de medición directa y experimentar con fuerzas de contacto y a distancia para explicar sus efectos sobre el movimiento.,"Ejecuta un experimento para demostrar la acción de una fuerza a distancia (magnetismo, gravedad) sobre un objeto, sin que haya contacto físico.",technical_systems,applying,T0,E xperimentación con fuerzas a distancia.,sv-cyt p.46 ¶paragraph-p359-a2e14cdce1e7cc4f,,,,
07-05,3,Seleccionar y usar instrumentos de medición directa y experimentar con fuerzas de contacto y a distancia para explicar sus efectos sobre el movimiento.,"Compara las fuerzas de contacto y a distancia a partir de los resultados de sus experimentos, explicando la diferencia fundamental de si los objetos necesitan tocarse o no para interactuar.",technical_systems,reasoning,T0,Comparación del compor tamiento de las fuerzas por contacto y a distancia.,sv-cyt p.46 ¶paragraph-p359-a2e14cdce1e7cc4f,,,,
07-06,3,Seleccionar y usar instrumentos de medición directa y experimentar con fuerzas de contacto y a distancia para explicar sus efectos sobre el movimiento.,"Explica con evidencia de sus observaciones cómo las fuerzas (de contacto o a distancia) cambian el estado de movimiento de un objeto (iniciar, detener, cambiar de dirección o rapidez).",technical_systems,reasoning,T0,Comunicación de obser vaciones acerca de los efectos de las fuerzas sobre el estado de movimiento de los o b j e to s .,sv-cyt p.46 ¶paragraph-p360-da19a50695b98ec0,,,,
08-01,3,"Crear, seguir y depurar secuencias de instrucciones precisas para que un agente alcance una meta, prediciendo el resultado antes de ejecutarlas.",Ejecuta una secuencia de instrucciones precisas para mover un objeto o a sí mismo en un espacio definido (como una cuadrícula).,computational_thinking,applying,T0,"Have the Bot act out the individual instructions: forward means step one square forward, and left and right mean a 90 degree turn on the spot in the square (not moving to another square).",unplugged-rocket html ¶paragraph-p236-03732d6aa3ed0927,,,,
08-02,3,"Crear, seguir y depurar secuencias de instrucciones precisas para que un agente alcance una meta, prediciendo el resultado antes de ejecutarlas.","Predice el resultado de ejecutar una secuencia de instrucciones simples, trazando mentalmente o en papel el recorrido de un agente.",computational_thinking,reasoning,T0,use logical reasoning to predict the behaviour of simple programs,eng-computing html ¶paragraph-p94-f79248dc0d11c7ae,,,,
08-03,3,"Crear, seguir y depurar secuencias de instrucciones precisas para que un agente alcance una meta, prediciendo el resultado antes de ejecutarlas.",Crea una secuencia de instrucciones precisas para que un agente se mueva de un punto de inicio a una meta en un espacio definido.,computational_thinking,applying,T0,Give a set of precise instructions that programs an object to move efficiently from one point to another.,unplugged-rocket html ¶paragraph-p161-d04f4b3a09e6ff60,,,,
08-04,3,"Crear, seguir y depurar secuencias de instrucciones precisas para que un agente alcance una meta, prediciendo el resultado antes de ejecutarlas.","Identifica la instrucción en una secuencia que causa un resultado incorrecto, comparando el comportamiento observado del agente con el comportamiento esperado.",computational_thinking,reasoning,T0,Identify where a bug has occurred,unplugged-rocket html ¶paragraph-p167-ad0a0a9f9457ffeb,,,,
08-05,3,"Crear, seguir y depurar secuencias de instrucciones precisas para que un agente alcance una meta, prediciendo el resultado antes de ejecutarlas.",Corrige una secuencia de instrucciones que contiene un error para que el agente logre la meta prevista.,computational_thinking,reasoning,T0,be able to correct the code to allow the object to move to the desired destination.,unplugged-rocket html ¶paragraph-p167-ad0a0a9f9457ffeb,,,,
08-06,3,"Crear, seguir y depurar secuencias de instrucciones precisas para que un agente alcance una meta, prediciendo el resultado antes de ejecutarlas.",Descompone un problema de navegación (ir de A a B) en una serie de sub-metas o pasos más pequeños.,computational_thinking,applying,T0,solve problems by decomposing them into smaller parts,eng-computing html ¶paragraph-p108-7134c483baff1a53,,,,
09-01,4,"Identificar máquinas simples y complejas en dispositivos cotidianos, construir una máquina compleja y relacionar la energía que usa un dispositivo con su utilidad.",Ejemplifica máquinas simples a partir de la observación de dispositivos del entorno.,technical_systems,knowing,T0,"1 .1 . Ejemplifica máquinas simples, a par tir de dispositivos del entorno.",sv-cyt p.59 ¶paragraph-p490-aef1c3551bced5ab,,,,
09-02,4,"Identificar máquinas simples y complejas en dispositivos cotidianos, construir una máquina compleja y relacionar la energía que usa un dispositivo con su utilidad.","Clasifica máquinas simples según sus definiciones clásicas (palanca, plano inclinado, rueda y eje, polea, cuña, tornillo).",technical_systems,knowing,T0,"1 . 2. Clasifica las máquinas simples, a par tir de sus definiciones clásicas.",sv-cyt p.59 ¶paragraph-p490-aef1c3551bced5ab,,,,
09-03,4,"Identificar máquinas simples y complejas en dispositivos cotidianos, construir una máquina compleja y relacionar la energía que usa un dispositivo con su utilidad.","Identifica palancas de diferente clase (primera, segunda, tercera) en dispositivos cotidianos.",technical_systems,applying,T0,1 . 3. Identifica palancas de diferente clase en dispositivos cotidianos .,sv-cyt p.59 ¶paragraph-p490-aef1c3551bced5ab,,,,
09-04,4,"Identificar máquinas simples y complejas en dispositivos cotidianos, construir una máquina compleja y relacionar la energía que usa un dispositivo con su utilidad.",Identifica los tipos de máquinas simples que componen una máquina compleja.,technical_systems,reasoning,T0,1 . 5. Identifica tipos de máquinas simples dentro de máquinas complejas.,sv-cyt p.59 ¶paragraph-p490-aef1c3551bced5ab,,,,
09-05,4,"Identificar máquinas simples y complejas en dispositivos cotidianos, construir una máquina compleja y relacionar la energía que usa un dispositivo con su utilidad.",Construye una máquina compleja funcional a partir de componentes o materiales dados.,design_process,applying,T0,1 .6. Construcción de una máquina compleja.,sv-cyt p.59 ¶paragraph-p490-aef1c3551bced5ab,,,,
09-06,4,"Identificar máquinas simples y complejas en dispositivos cotidianos, construir una máquina compleja y relacionar la energía que usa un dispositivo con su utilidad.",Identifica las fuentes de energía que utilizan los objetos tecnológicos de uso diario.,technical_systems,knowing,T0,1 .8. Identificación de las fuentes de energía de objetos tecnológicos de uso diario.,sv-cyt p.59 ¶paragraph-p490-aef1c3551bced5ab,,,,
09-07,4,"Identificar máquinas simples y complejas en dispositivos cotidianos, construir una máquina compleja y relacionar la energía que usa un dispositivo con su utilidad.",Explica con evidencia la relación entre la forma de energía que emplea un dispositivo y su utilidad principal.,technical_systems,reasoning,T0,1 .9. Relación entre la forma de energía empleada por un dispositivo y su utilidad.,sv-cyt p.60 ¶paragraph-p493-c2c8d149fcb0df40,,,,
10-01,6,"Medir voltaje, corriente y resistencia con multímetro, construir y representar circuitos en serie y paralelo y calcular resistencia equivalente.",Identifica el valor de una resistencia eléctrica a partir de su código de bandas de colores.,technical_systems,knowing,T0,Identificación del valor de resistencias eléctricas según código de color y multímetro.,sv-cyt p.93 ¶paragraph-p851-d19097567298dd56,,,,
10-02,6,"Medir voltaje, corriente y resistencia con multímetro, construir y representar circuitos en serie y paralelo y calcular resistencia equivalente.",Mide el valor de una resistencia eléctrica utilizando un multímetro.,technical_systems,applying,T1,Identificación del valor de resistencias eléctricas según código de color y multímetro.,sv-cyt p.93 ¶paragraph-p851-d19097567298dd56,,,,
10-03,6,"Medir voltaje, corriente y resistencia con multímetro, construir y representar circuitos en serie y paralelo y calcular resistencia equivalente.",Construye un circuito eléctrico en serie funcional.,technical_systems,applying,T0,Construcción de un circuito en serie.,sv-cyt p.93 ¶paragraph-p852-fdc2bc377c839b0a,,,,
10-04,6,"Medir voltaje, corriente y resistencia con multímetro, construir y representar circuitos en serie y paralelo y calcular resistencia equivalente.",Construye un circuito eléctrico en paralelo funcional.,technical_systems,applying,T0,Construcción de un circuito en paralelo.,sv-cyt p.93 ¶paragraph-p852-fdc2bc377c839b0a,,,,
10-05,6,"Medir voltaje, corriente y resistencia con multímetro, construir y representar circuitos en serie y paralelo y calcular resistencia equivalente.",Representa circuitos eléctricos en serie y en paralelo mediante diagramas esquemáticos.,technical_systems,applying,T0,Representación de circuitos eléctricos en serie y en paralelo.,sv-cyt p.93 ¶paragraph-p852-fdc2bc377c839b0a,,,,
10-06,6,"Medir voltaje, corriente y resistencia con multímetro, construir y representar circuitos en serie y paralelo y calcular resistencia equivalente.",Mide el voltaje y la corriente en diferentes puntos de un circuito eléctrico usando un multímetro.,technical_systems,applying,T1,Uso del multímetro para medir voltaje y corriente eléctrica.,sv-cyt p.93 ¶paragraph-p851-d19097567298dd56,,,,
10-07,6,"Medir voltaje, corriente y resistencia con multímetro, construir y representar circuitos en serie y paralelo y calcular resistencia equivalente.",Calcula la resistencia equivalente de un conjunto de resistores conectados en serie.,technical_systems,applying,T0,Cálculo de la resistencia equivalente y continuidad de la corriente eléctrica en un circuito en serie.,sv-cyt p.93 ¶paragraph-p852-fdc2bc377c839b0a,,,,
10-08,6,"Medir voltaje, corriente y resistencia con multímetro, construir y representar circuitos en serie y paralelo y calcular resistencia equivalente.",Calcula la resistencia equivalente de un conjunto de resistores conectados en paralelo.,technical_systems,applying,T0,Cálculo de la resistencia equivalente y voltaje en un circuito en paralelo.,sv-cyt p.93 ¶paragraph-p852-fdc2bc377c839b0a,,,,
11-01,3,"Crear, seguir y depurar secuencias de instrucciones precisas para que un agente alcance una meta, prediciendo el resultado antes de ejecutarlas.",Ejecuta una secuencia de instrucciones precisas y unívocas para mover un agente (un compañero o un objeto) en un espacio físico o una cuadrícula.,computational_thinking,applying,T0,programs execute by following precise and unambiguous instructions,eng-computing html ¶paragraph-p90-7d8109e0e4d36796,,,,
11-02,3,"Crear, seguir y depurar secuencias de instrucciones precisas para que un agente alcance una meta, prediciendo el resultado antes de ejecutarlas.",Traza la ruta resultante de una secuencia de instrucciones para predecir la posición final de un agente antes de la ejecución.,computational_thinking,reasoning,T0,use logical reasoning to predict the behaviour of simple programs,eng-computing html ¶paragraph-p94-f79248dc0d11c7ae,,,,
11-03,3,"Crear, seguir y depurar secuencias de instrucciones precisas para que un agente alcance una meta, prediciendo el resultado antes de ejecutarlas.","Construye una secuencia de instrucciones precisas para que un agente alcance una meta específica en un entorno conocido (p. ej., una cuadrícula).",computational_thinking,applying,T0,Give a set of precise instructions that programs an object to move efficiently from one point to another.,unplugged-rocket html ¶paragraph-p161-d04f4b3a09e6ff60,,,,
11-04,3,"Crear, seguir y depurar secuencias de instrucciones precisas para que un agente alcance una meta, prediciendo el resultado antes de ejecutarlas.",Identifica el punto exacto en una secuencia de instrucciones donde el comportamiento del agente se desvía del resultado esperado.,computational_thinking,reasoning,T0,Identify where a bug has occurred...,unplugged-rocket html ¶paragraph-p167-ad0a0a9f9457ffeb,,,,
11-05,3,"Crear, seguir y depurar secuencias de instrucciones precisas para que un agente alcance una meta, prediciendo el resultado antes de ejecutarlas.","Depura una secuencia de instrucciones incorrecta, proponiendo y aplicando una corrección (cambiar, agregar o quitar una instrucción) para que el programa alcance la meta.",computational_thinking,reasoning,T0,...and be able to correct the code to allow the object to move to the desired destination.,unplugged-rocket html ¶paragraph-p167-ad0a0a9f9457ffeb,,,,
11-06,3,"Crear, seguir y depurar secuencias de instrucciones precisas para que un agente alcance una meta, prediciendo el resultado antes de ejecutarlas.","Descompone un problema de navegación en sub-problemas más pequeños, creando y probando la secuencia de instrucciones por partes.",computational_thinking,reasoning,T0,solve problems by decomposing them into smaller parts,eng-computing html ¶paragraph-p108-7134c483baff1a53,,,,
12-01,4,"Reconocer en aparatos de uso diario qué máquinas simples los componen, armar un mecanismo compuesto y explicar qué forma de energía emplea cada aparato y para qué le sirve.","Identifica máquinas simples (palanca, polea, plano inclinado, rueda y eje, tornillo, cuña) en dispositivos de su entorno.",technical_systems,knowing,T0,"1 .1 . Ejemplifica máquinas simples, a par tir de dispositivos del entorno.",sv-cyt p.59 ¶paragraph-p490-aef1c3551bced5ab,,,,
12-02,4,"Reconocer en aparatos de uso diario qué máquinas simples los componen, armar un mecanismo compuesto y explicar qué forma de energía emplea cada aparato y para qué le sirve.","Clasifica máquinas simples según sus definiciones, incluyendo los diferentes géneros de palancas en dispositivos cotidianos.",technical_systems,applying,T0,"1 . 2. Clasifica las máquinas simples, a par tir de sus definiciones clásicas.",sv-cyt p.59 ¶paragraph-p490-aef1c3551bced5ab,,,,
12-03,4,"Reconocer en aparatos de uso diario qué máquinas simples los componen, armar un mecanismo compuesto y explicar qué forma de energía emplea cada aparato y para qué le sirve.",Identifica las máquinas simples que componen una máquina compleja de uso cotidiano.,technical_systems,reasoning,T0,1 . 5. Identificación de tipos de máquinas 1 . 5. Identifica tipos de máquinas simples simples dentro de máquinas dentro de máquinas complejas. complejas.,sv-cyt p.59 ¶paragraph-p490-aef1c3551bced5ab,,,,
12-04,4,"Reconocer en aparatos de uso diario qué máquinas simples los componen, armar un mecanismo compuesto y explicar qué forma de energía emplea cada aparato y para qué le sirve.",Construye una máquina compleja funcional a partir de un conjunto de materiales y un propósito dado.,design_process,applying,T0,1 .6. Construcción de una máquina 1 .6. Construye una máquina compleja. compleja.,sv-cyt p.59 ¶paragraph-p490-aef1c3551bced5ab,,,,
12-05,4,"Reconocer en aparatos de uso diario qué máquinas simples los componen, armar un mecanismo compuesto y explicar qué forma de energía emplea cada aparato y para qué le sirve.",Explica con evidencia la relación entre la fuente de energía que usa un objeto tecnológico y la función que cumple.,technical_systems,reasoning,T0,1 .8. Identifica las fuentes de energía de objetos tecnológicos de uso diario.,sv-cyt p.59 ¶paragraph-p490-aef1c3551bced5ab,,,,
12-06,4,"Reconocer en aparatos de uso diario qué máquinas simples los componen, armar un mecanismo compuesto y explicar qué forma de energía emplea cada aparato y para qué le sirve.","Efectúa cálculos simples de transformación de energía en electrodomésticos, usando las unidades del Sistema Internacional (Joule, watt, segundo).",technical_systems,applying,T0,1 .10. Efectúa cálculos simples de transformación de energía en electrodomésticos y el cuerpo humano.,sv-cyt p.60 ¶paragraph-p493-c2c8d149fcb0df40,,,,
12-07,4,"Reconocer en aparatos de uso diario qué máquinas simples los componen, armar un mecanismo compuesto y explicar qué forma de energía emplea cada aparato y para qué le sirve.","Registra un inventario de objetos tecnológicos de uso diario, clasificándolos según un criterio simple.",data_and_ai,knowing,T0,1 .7. Elaboración de inventario de los 1 .7. Elabora un inventario simple de los objetos tecnológicos de uso diario. objetos tecnológicos de uso diario.,sv-cyt p.59 ¶paragraph-p490-aef1c3551bced5ab,,,,
